year,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Winter,Spring,Summer,Autumn,Annual
1863,0.8,,,,,,,,,,,,,,,,
1864,116.5,74.9,72.5,173.5,57.5,51.2,16.9,0.2,16.8,40.8,262.7,60,148.2,282.2,33.9,363.5,943.5
1865,60,204.8,50.3,27.8,29.3,102.1,20.1,1,3.3,28.6,222.4,236.2,371.6,159.2,24.4,487.2,985.9
1866,20.6,59,95.7,138.5,86.3,140.5,9,4.3,1.3,21.4,39,21.9,214.7,365.3,14.6,82.3,637.5
1867,89.7,149.6,27,153.7,11.6,50.9,0.7,7,5.9,11.2,6,154.9,197.2,216.2,13.6,172.1,668.2
1868,202.5,49.7,23.5,5,42.9,29,3.7,11.1,23.2,125.3,16.1,138,162.9,76.9,38,279.4,670
1869,131,97.5,23.3,35.4,27.1,96,2.9,0.2,0,24.5,33.4,8.1,323.3,158.5,3.1,66,479.4
1870,159.8,49.6,125.1,67.1,40.6,3.9,2.5,0.2,19.2,22.2,41.5,99.6,305.7,111.6,21.9,163.3,631.3
1871,66.3,85.4,91.5,157.7,27.5,76.5,32.2,1.7,0,146.2,77,155.7,336.7,261.7,33.9,378.9,917.7
1872,159.7,177.1,218.8,84.2,49.9,29.9,0,5.9,3.3,22.2,107.8,68.3,462.2,164,9.2,198.3,927.1
1873,40.8,122.9,101.4,167.9,53.3,83.8,18.4,0.2,2.7,0.2,31,71.7,384,305,21.3,102.9,694.3
1874,84.5,28.9,101.1,15.7,68.2,18.7,3.2,0.3,0.2,10.5,76.9,29.3,170.8,102.6,3.7,116.7,437.5
1875,77.6,62.4,78.8,53.4,29.9,31.3,11.5,10.6,0.3,16,57,36.8,225.7,114.6,22.4,109.8,465.6
1876,395.6,39.5,87,84.4,21,36.3,12.3,0,0.1,24.6,191.2,252.9,204.1,141.7,12.4,468.7,1144.9
1877,51.4,168.1,43.1,61.5,158.9,106.7,22.8,11.1,11.8,73.3,25.6,71.5,606.8,327.1,45.7,170.4,805.8
1878,186.3,21.1,50.9,57.6,101,36.7,2.8,0.8,19.7,31.5,89.4,152,123.4,195.3,23.3,272.9,749.8
1879,41.5,119.9,119,38.8,130.2,2.1,27.1,0.1,0.2,41.4,55.6,171.7,425.2,171.1,27.4,268.7,747.6
1880,69.7,11.1,83.8,73,73.5,54.6,27.6,0,10.3,6,151.3,98,136.4,201.1,37.9,255.3,658.9
1881,42.8,275.1,92,116.6,194.3,17.5,10.1,2.7,0,17.6,70.3,76.8,436.8,328.4,12.8,164.7,915.8
1882,144.9,21.3,64.5,22,54.2,75.4,9,17.2,0.9,19.6,81,30.9,128.6,151.6,27.1,131.5,540.9
1883,5.9,141.4,55.8,190.8,74.2,109.7,12.2,1.5,0,21.5,19.6,18.5,342.1,374.7,13.7,59.6,651.1
1884,44.1,62.3,150.4,149.4,216.3,3.3,0.3,7.8,0.6,50.2,30.6,8.5,218.6,369,8.7,89.3,723.8
1885,89.4,200.7,144.1,69.4,99,9.5,24.5,0.1,31.6,5.1,28.5,147.6,388.9,177.9,56.2,181.2,849.5
1886,127.5,97.7,57.5,121.1,98.8,73.6,32.7,0,0,23.2,107.5,66,244.6,293.5,32.7,196.7,805.6
1887,186.5,34.7,11.7,123.2,18.4,69.6,7.8,0,8.1,18.5,66.7,184,173.9,211.2,15.9,269.2,729.2
1888,149.6,39.2,47,148.3,30.6,24.7,16.9,12.8,13.8,38.3,78.7,184.1,272.7,203.6,43.5,301.1,784
1889,7.4,47.5,30.6,75.9,126.2,36.8,42,3.2,2.7,18.7,65,43,227.7,238.9,47.9,126.7,499
