date,tmin,tmax,tmed
01/1856,9.59,14.28,11.94
02/1856,8.1,14.72,11.41
03/1856,10.11,16.6,13.35
04/1856,10.12,16.29,13.2
05/1856,11.74,19.41,15.57
06/1856,15.41,24.85,20.13
07/1856,17.31,27.45,22.38
08/1856,18.06,28.77,23.41
09/1856,16,24.57,20.29
10/1856,13.07,21.26,17.16
11/1856,8.27,16.64,12.46
12/1856,7.61,13.62,10.62
01/1857,6.04,11.84,8.94
02/1857,7.2,13.27,10.24
03/1857,8.97,15.66,12.32
04/1857,10.03,17.49,13.76
05/1857,11.57,19.21,15.39
06/1857,15.36,24.34,19.85
07/1857,18.26,29.71,23.99
08/1857,16.72,25.72,21.22
09/1857,16.77,24.98,20.88
10/1857,13.44,20.92,17.18
11/1857,11.61,17.12,14.37
12/1857,6.36,13.28,9.82
01/1858,4.2,11.64,7.92
02/1858,8.75,14.26,11.51
03/1858,8.54,16.57,12.55
04/1858,12.16,20.66,16.41
05/1858,12.34,22.27,17.3
06/1858,16.38,26.59,21.48
07/1858,16.32,25.98,21.15
08/1858,16.72,26.77,21.75
09/1858,16.56,25.47,21.01
10/1858,14.23,21.47,17.85
11/1858,12.22,17.28,14.75
12/1858,8.12,14.1,11.11
01/1859,5.4,12.25,8.82
02/1859,7.49,15.23,11.36
03/1859,9.02,18.63,13.83
04/1859,11.58,19.89,15.74
05/1859,12.05,18.91,15.48
06/1859,14.29,21.8,18.04
07/1859,18.02,29.32,23.67
08/1859,17.66,27.75,22.7
09/1859,15.85,24.87,20.36
10/1859,13.65,19.48,16.57
11/1859,10.21,16.83,13.52
12/1859,6.59,12.58,9.59
01/1860,9.3,13.79,11.55
02/1860,4.54,11.71,8.13
03/1860,8.25,16.06,12.16
04/1860,9.89,17.33,13.61
05/1860,13.36,23.03,18.19
06/1860,14.65,22.86,18.75
07/1860,14.22,26.55,20.38
08/1860,15.85,26.45,21.15
09/1860,13.8,22.14,17.97
10/1860,13.29,22.91,18.1
11/1860,12.34,17.45,14.9
12/1860,9.86,14.94,12.4
01/1861,5.42,13.01,9.21
02/1861,7.19,13.3,10.24
03/1861,9.61,18.25,13.93
04/1861,10.9,19.09,15
05/1861,13.58,21.66,17.62
06/1861,14.87,23.32,19.09
07/1861,16.29,25.29,20.79
08/1861,18.05,30.02,24.04
09/1861,16.17,26.5,21.33
10/1861,14.88,20.34,17.61
11/1861,10.82,16.29,13.56
12/1861,7.47,13.03,10.25
01/1862,8.43,13.85,11.14
02/1862,7.54,14.76,11.15
03/1862,10.05,15.68,12.87
04/1862,10.79,19.1,14.95
05/1862,12.54,20.51,16.52
06/1862,15.82,24.97,20.39
07/1862,17.94,28.68,23.31
08/1862,16.12,25.75,20.94
09/1862,15.84,23.58,19.71
10/1862,13.95,22.45,18.2
11/1862,9.12,15.27,12.19
12/1862,7.69,13.8,10.75
01/1863,6.75,13.51,10.13
02/1863,6.78,15.16,10.97
03/1863,9.29,16.11,12.7
04/1863,11.27,20.22,15.74
05/1863,12.01,20.77,16.39
06/1863,14.31,24.09,19.2
07/1863,16.51,26.61,21.56
08/1863,17.36,27.65,22.5
09/1863,15.67,23.48,19.57
10/1863,13.57,20.51,17.04
11/1863,10,17.54,13.77
12/1863,5.9,13.34,9.62
01/1864,6.62,12.05,9.33
02/1864,7.25,12.79,10.02
03/1864,9.52,14.51,12.01
04/1864,11.53,17.57,14.55
05/1864,15.85,22.67,19.26
06/1864,16.97,24.81,20.89
07/1864,17.71,25.47,21.59
08/1864,20.69,29.35,25.02
09/1864,16.88,24.66,20.77
10/1864,14.65,19.53,17.09
11/1864,11.06,15.17,13.11
12/1864,7.22,11.78,9.5
01/1865,9.91,13.32,11.61
02/1865,8.34,13.5,10.92
