,name,year,certificate,rating,runtime (min),genre,description,directors,stars,gross
0,A Nightmare on Elm Street,1984,R,7.4,91,['Horror'],"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",['Wes Craven'],"['Heather Langenkamp', 'Johnny Depp', 'Robert Englund', 'John Saxon']",25504513
1,Awakenings,1990,PG-13,7.8,121,"['Biography', 'Drama']","The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",['Penny Marshall'],"['Robert De Niro', 'Robin Williams', 'Julie Kavner', 'Ruth Nelson']",52096475
2,A League of Their Own,1992,PG,7.3,128,"['Comedy', 'Drama', 'Sport']",Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.,['Penny Marshall'],"['Tom Hanks', 'Geena Davis', 'Lori Petty', 'Madonna']",107533928
3,A Bronx Tale,1993,R,7.8,121,"['Crime', 'Drama']",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,['Robert De Niro'],"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato', 'Francis Capra']",17266971
4,Angels in the Outfield,1994,PG,6.2,102,"['Comedy', 'Family', 'Fantasy']","When a boy prays for a chance to have a family if the California Angels win the pennant, angels are assigned to make that possible.",['William Dear'],"['Danny Glover', 'Brenda Fricker', 'Tony Danza', 'Christopher Lloyd']",50236831
5,A Time to Kill,1996,R,7.5,149,"['Crime', 'Drama', 'Thriller']","In Clanton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.",['Joel Schumacher'],"['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson', 'Kevin Spacey']",108766007
6,Amistad,1997,R,7.3,155,"['Biography', 'Drama', 'History']","In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",['Steven Spielberg'],"['Djimon Hounsou', 'Matthew McConaughey', 'Anthony Hopkins', 'Morgan Freeman']",44175394
7,Anaconda,1997,PG-13,4.8,89,"['Action', 'Adventure', 'Horror']","A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",['Luis Llosa'],"['Jon Voight', 'Jennifer Lopez', 'Eric Stoltz', 'Ice Cube']",65885767
8,"A Cool, Dry Place",1998,PG-13,6.2,97,['Drama'],"Russell, single father balances his work as a lawyer with the care of his five-year-old son, after his wife abandoned them. When she reappears creating turmoil, he must deal with his new love interest and a job opportunity of a lifetime.",['John N. Smith'],"['Vince Vaughn', 'Monica Potter', 'Joey Lauren Adams', 'Bobby Moat']",4390
9,American History X,1998,R,8.5,119,"['Crime', 'Drama']",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,['Tony Kaye'],"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']",6719864
10,Analyze This,1999,R,6.7,103,"['Comedy', 'Crime']",A comedy about a psychiatrist whose number-one patient is an insecure mob boss.,['Harold Ramis'],"['Robert De Niro', 'Billy Crystal', 'Lisa Kudrow', 'Chazz Palminteri']",106885658
11,Almost Famous,2000,R,7.9,122,"['Adventure', 'Comedy', 'Drama']",A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,['Cameron Crowe'],"['Billy Crudup', 'Patrick Fugit', 'Kate Hudson', 'Frances McDormand']",32534850
12,American Psycho,2000,R,7.6,102,"['Crime', 'Drama', 'Horror']","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",['Mary Harron'],"['Christian Bale', 'Justin Theroux', 'Josh Lucas', 'Bill Sage']",15070285
13,A.I. Artificial Intelligence,2001,PG-13,7.2,146,"['Drama', 'Sci-Fi']","A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",['Steven Spielberg'],"['Haley Joel Osment', 'Jude Law', ""Frances O'Connor"", 'Sam Robards']",78616689
14,Ali,2001,R,6.7,157,"['Biography', 'Drama', 'Sport']","A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974.",['Michael Mann'],"['Will Smith', 'Jamie Foxx', 'Jon Voight', 'Mario Van Peebles']",58203105
15,American Pie 2,2001,R,6.4,108,['Comedy'],"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",['J.B. Rogers'],"['Jason Biggs', 'Seann William Scott', 'Shannon Elizabeth', 'Alyson Hannigan']",145103595
16,A Beautiful Mind,2001,PG-13,8.2,135,"['Biography', 'Drama']","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",['Ron Howard'],"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']",170742341
17,Angel Eyes,2001,R,5.7,102,"['Drama', 'Romance']","A mysterious man is drawn to a feisty female police officer and a unusual relationship ensues, as not everything is as it seems.",['Luis Mandoki'],"['Jennifer Lopez', 'Jim Caviezel', 'Jeremy Sisto', 'Terrence Howard']",24044532
18,A Knight's Tale,2001,PG-13,6.9,132,"['Action', 'Adventure', 'Romance']","After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",['Brian Helgeland'],"['Heath Ledger', 'Mark Addy', 'Rufus Sewell', 'Shannyn Sossamon']",56569702
19,Antwone Fisher,2002,PG-13,7.3,120,"['Biography', 'Drama']","Antwone Fisher, a young navy man, is forced to see a psychiatrist after a violent outburst against a fellow crewman. During the course of treatment a painful past is revealed and a new hope begins.",['Denzel Washington'],"['Denzel Washington', 'Derek Luke', 'Joy Bryant', 'Malcolm David Kelley']",21078145
